accuracy,avg_valid_rank,rank,avg_valid_len,len
0.4874,2.1938,-1,6.3460,1
0.4882,2.2034,5,6.3276,1
0.4874,2.2034,-1,6.3276,2
0.4866,2.2034,-1,6.3276,3
0.4858,2.2034,-1,6.3276,1
0.4849,2.2034,-1,6.3276,2
0.4841,2.2034,-1,6.3276,3
0.4850,2.1993,1,6.3196,4
0.4859,2.1952,1,6.3151,5
0.4850,2.1952,-1,6.3151,6
0.4859,2.1877,0,6.3174,7
0.4868,2.1939,4,6.3231,8
0.4860,2.1939,-1,6.3231,9
0.4851,2.1939,-1,6.3231,10
0.4860,2.1932,2,6.3390,11
0.4852,2.1932,-1,6.3390,12
0.4844,2.1932,-1,6.3390,13
0.4852,2.1926,2,6.3649,14
0.4845,2.1926,-1,6.3649,1
0.4853,2.2121,8,6.3502,2
0.4861,2.2047,0,6.3389,3
0.4853,2.2047,-1,6.3389,4
0.4862,2.2040,2,6.3344,5
0.4854,2.2040,-1,6.3344,6
0.4862,2.1967,0,6.3367,7
0.4871,2.1993,3,6.3189,1
0.4863,2.1993,-1,6.3189,2
0.4871,2.1921,0,6.3079,3
0.4863,2.1921,-1,6.3079,4
0.4871,2.1947,3,6.3036,5
0.4864,2.1947,-1,6.3036,6
0.4872,2.2072,6,6.3059,7
0.4864,2.2072,-1,6.3059,8
0.4856,2.2072,-1,6.3059,9
0.4848,2.2072,-1,6.3059,1
0.4841,2.2072,-1,6.3059,2
0.4833,2.2072,-1,6.3059,3
0.4841,2.2000,0,6.2984,4
0.4834,2.2000,-1,6.2984,5
0.4842,2.1928,0,6.2974,6
0.4850,2.1987,4,6.2997,7
0.4842,2.1987,-1,6.2997,8
0.4835,2.1987,-1,6.2997,9
0.4827,2.1987,-1,6.2997,10
0.4835,2.1916,0,6.3149,11
0.4828,2.1916,-1,6.3149,12
0.4820,2.1916,-1,6.3149,13
0.4828,2.1845,0,6.3398,14
0.4836,2.1774,0,6.3677,15
0.4844,2.1704,0,6.3987,16
0.4852,2.1635,0,6.4327,17
0.4860,2.1661,3,6.4696,18
0.4853,2.1661,-1,6.4696,19
0.4845,2.1661,-1,6.4696,20
0.4853,2.1592,0,6.5159,21
0.4861,2.1746,7,6.5651,22
0.4869,2.1677,0,6.6171,23
0.4862,2.1677,-1,6.6171,1
0.4854,2.1677,-1,6.6171,2
0.4847,2.1677,-1,6.6171,3
0.4855,2.1672,2,6.6088,4
0.4847,2.1672,-1,6.6088,5
0.4840,2.1672,-1,6.6088,6
0.4832,2.1672,-1,6.6088,7
0.4840,2.1604,0,6.6132,8
0.4848,2.1567,1,6.6207,9
0.4856,2.1625,4,6.6312,10
0.4848,2.1625,-1,6.6312,11
0.4841,2.1625,-1,6.6312,12
0.4849,2.1558,0,6.6511,13
